open,close,high,low,value,volume,begin,end
2749.8,2763.9,2764.9,2749.0,1447703.7,526,2011-12-15 15:45:00,2011-12-15 15:45:59
2765.2,2764.9,2770.0,2750.3,2299809.2,832,2011-12-15 15:46:00,2011-12-15 15:46:59
2763.5,2765.0,2765.0,2763.5,605481.2,219,2011-12-15 15:47:00,2011-12-15 15:47:59
2771.0,2769.0,2774.2,2755.0,813512.9,294,2011-12-15 15:48:00,2011-12-15 15:48:59
2769.0,2779.0,2780.0,2769.0,1492371.4,538,2011-12-15 15:49:00,2011-12-15 15:49:59
2779.0,2778.0,2780.0,2775.0,1319052.6,475,2011-12-15 15:50:00,2011-12-15 15:50:59
2778.0,2780.0,2780.0,2769.8,722497.6,260,2011-12-15 15:51:00,2011-12-15 15:51:59
2780.0,2780.0,2780.0,2770.3,2184808.9,786,2011-12-15 15:52:00,2011-12-15 15:52:59
2779.0,2779.0,2779.0,2770.1,805700.7,290,2011-12-15 15:53:00,2011-12-15 15:53:59
2779.0,2778.0,2779.0,2770.1,694693.0,250,2011-12-15 15:54:00,2011-12-15 15:54:59
2778.0,2779.7,2780.0,2765.0,816327.4,294,2011-12-15 15:55:00,2011-12-15 15:55:59
2778.7,2780.0,2780.0,2771.2,700490.1,252,2011-12-15 15:56:00,2011-12-15 15:56:59
2780.0,2779.2,2780.0,2779.1,686647.9,247,2011-12-15 15:57:00,2011-12-15 15:57:59
2780.0,2780.0,2780.0,2772.1,706080.9,254,2011-12-15 15:58:00,2011-12-15 15:58:59
2772.2,2754.6,2772.2,2754.6,441673.3,160,2011-12-15 15:59:00,2011-12-15 15:59:59
2760.3,2760.3,2760.3,2760.3,55206.0,20,2011-12-15 16:00:00,2011-12-15 16:00:59
2756.3,2756.1,2759.5,2756.1,44132.6,16,2011-12-15 16:01:00,2011-12-15 16:01:59
2756.2,2750.4,2756.2,2750.4,592527.0,215,2011-12-15 16:02:00,2011-12-15 16:02:59
2757.8,2762.5,2762.5,2752.5,1051449.2,381,2011-12-15 16:03:00,2011-12-15 16:03:59
2775.9,2778.0,2778.9,2775.9,299921.6,108,2011-12-15 16:04:00,2011-12-15 16:04:59
2767.6,2767.6,2767.6,2767.6,130077.2,47,2011-12-15 16:05:00,2011-12-15 16:05:59
2766.7,2765.7,2766.7,2765.7,13829.5,5,2011-12-15 16:06:00,2011-12-15 16:06:59
2765.4,2765.4,2765.5,2765.4,116147.3,42,2011-12-15 16:08:00,2011-12-15 16:08:59
2761.3,2761.3,2761.3,2761.3,2761.3,1,2011-12-15 16:10:00,2011-12-15 16:10:59
2755.1,2762.1,2762.1,2755.1,16537.6,6,2011-12-15 16:11:00,2011-12-15 16:11:59
2762.2,2773.5,2773.5,2762.2,246459.5,89,2011-12-15 16:12:00,2011-12-15 16:12:59
2774.0,2771.7,2775.0,2761.4,883564.8,319,2011-12-15 16:13:00,2011-12-15 16:13:59
2770.0,2770.2,2775.0,2764.3,863971.2,312,2011-12-15 16:14:00,2011-12-15 16:14:59
2772.9,2774.8,2775.0,2767.1,582210.7,210,2011-12-15 16:15:00,2011-12-15 16:15:59
